name,address,phone,latitude,longitude
Adrien's Supermarket,"Adrien's Supermarket 3842 West Congress, Lafayette",337-501-0673  Herb,31.14614,-93.2887
Henderson 1 Stop,"Henderson 1 Stop 504 HENDERSON HWY, Breaux Bridge",337-434-4019,31.14286,-93.27966
Cash Saver,Cash Saver 1714 Main HWY Street St. Martinville,337-394-2333,31.1811,-93.25974
Speedway,"1100 North University Avenue, Lafayette",337-412-6916,31.16846,-93.23374
B & W Evangeline,"2013 Evangeline HWY, Jennings",337-824-6313,31.1103,-93.28654
Hanson Super Foods,"401 West Plaquemine Street, Jennings",337-824-6463,31.15054,-93.28982
Dirty Rice,"608 East HWY 90, Iowa",337-391-9663/337-582-2333,31.15422,-93.26574
Kerry A Sac,"103 HWY 90 East, Iowa",337-582-6678,31.11422,-93.2767
MORE 4 LESS,"3350 MAPLEWOOD DR., Sulphur",,31.176379999999998,-93.29774
CHEVRON-NEW,"2211 RYAN ST, Lake Charles",337-240-8143,30.187,-93.20076
Piggly Wiggly-Scott,"5525 Cameron Street, Scott",337-232.9877,31.14982,-93.28854
Savco,"620 West Canal Street, Churchpoint",337-684-3127,31.11854,-93.28694
AJ's,"7009 Churchpoint HWY, Rayne",337-334-0288,31.1587,-93.2251
I-10 Chevron-Rayne,"1045 Churchpoint HWY, Rayne",337-334-9684,31.18022,-93.24502
I-10 Rayne Travel Center,"I-10 Rayne Travel Center 1044 Churchpoint HWY, Rayne",337-334-7233,31.130219999999998,-93.2563
Nonc Kev Meat Market,"1421 The Blvd, Rayne",337-393-2750,31.10598,-93.26886
Champagne's-Rayne,"500 South Adams Avenue, Rayne",337-334-3869,31.16142,-93.2651
Piggly Wiggly-Rayne,"702 South Adams Avenue, Rayne",337-334-4233,31.13574,-93.27798
We Fair,"300 West Branche, Rayne",337-334-4620,31.1723,-93.27278
Cuccio's,"1025 North Avenue G, Crowley",337-783-2140,31.1283,-93.26542
Crawfish Nest,"Crawfish Nest 805 West 2nd Street, Crowley",337-783-9900,31.12438,-93.24918
Cajun Lunch Box,"605 North Adams Street, Welsh",337-734-4661,31.10526,-93.23966
Starks Truck Stop,Starks Truck Stop 4344 HWY 12 Starks,337-743-5471,31.13398,-93.2231
Glenn's Mart,"1312 Gum Cove Road, Vinton",337-589-3520,31.13238,-93.2315
M & K Pantry,"1601 HWY 90 West, Vinton",337-589-3333,31.14534,-93.25134
PHILLIP CALAIS,NORTH SIDE/ROAD SIDE,337-377-8817,31.165499999999998,-93.28798
KENNETH WEEKS,LEAVE TICKET ON DESK/CK DEL,251-689-6789,31.16566,-93.23126
KENNETH ROBERTS-2BOXES,SOUTH EAST/WEST ROAD SIDE,(337-802-9706),31.1359,-93.22838
