Customer,Address,Depot_Assignment,Latitude,Longitude
Adrien's Supermarket,730 Anderson Ave  Beaumont  LA 72721,Lake Charles,30.068,-94.1548
Aladdin Construction,5574 Kelly Rd  Beaumont  LA 76482,Lake Charles,30.0785,-94.0994
B & W - Jennings,5585 Peterson St  Groves  LA 70245,Lake Charles,29.9346,-93.9241
Big Easy Foods,1075 Bennett Ave  Vinton  LA 75454,Lake Charles,30.195,-93.6052
Bo-Mac (Westlake -Air Products),6379 Gonzales Rd  Lake Arthur  LA 70420,Lake Charles,30.1041,-92.6333
Border Town-Formerly Delta Down,5526 Gonzalez Ave  Abbeville  LA 70487,Lake Charles,29.9919,-92.1094
Bronco Discount,3316 Gray Ave  Eunice  LA 70750,Lake Charles,30.4841,-92.4391
Brown & Root,8722 Gray Ave  Lafayette  LA 78674,Lake Charles,30.2496,-91.9966
Cajun Deli,3434 Turner Ave  Crowley  LA 75173,Lake Charles,30.1879,-92.3874
Cajun Grocery,2164 Watson St  Welsh  LA 74085,Lake Charles,30.2659,-92.8227
Cajun Lunch Box-Welsh,1831 Gonzalez Ave  Lake Arthur  LA 77914,Lake Charles,30.0947,-92.6273
Cenla Express-Chevron-Alexandria,8414 White Ave  Westlake  LA 75964,Lake Charles,30.2605,-93.2373
Chadeaux's Cajun Kitchen,470 Morgan Ave  Lake Arthur  LA 74499,Lake Charles,30.0669,-92.643
Conoco Fifth Wheel-Sulphur,3861 Anderson Ave  Lafayette  LA 71895,Lake Charles,30.2452,-92.0311
Crying Eagle Brewery,7398 Foster Ave  Westlake  LA 78732,Lake Charles,30.253,-93.2634
Cuccio's,8526 Rodriguez St  Groves  LA 70528,Lake Charles,29.9305,-93.9141
Daiquiri Shack,6127 Mitchell Ave  New Iberia  LA 70471,Lake Charles,30.0318,-91.7968
Delicious Donuts,9622 Lopez Ave  Crowley  LA 76281,Lake Charles,30.239,-92.3901
Delta Downs - Barn # 1 - Philip Calais,9244 Park Ave  Sulphur  LA 79591,Lake Charles,30.2583,-93.3984
Delta Downs - Barn # 2- Kenneth Weeks,7511 Roberts St  Lafayette  LA 74540,Lake Charles,30.2207,-92.0081
Delta Downs - Barn # 3 - Kenneth Roberts,569 Phillips Dr  Lafayette  LA 72501,Lake Charles,30.2367,-92.0393
Delta Downs - Barn # 4 - Trey Ellis,9748 Green Ave  Crowley  LA 75528,Lake Charles,30.1843,-92.3853
Delta Downs - Barn # 8 - Martinez Racing,4342 Hill Dr  Lake Charles  LA 77682,Lake Charles,30.198,-93.2444
Delta Downs - Barn # 9 -  Darrel Soileau,2266 Martin St  Vinton  LA 72862,Lake Charles,30.2003,-93.5991
Delta Downs - Barn # 9 - Orlando Orozco,3632 Oak Ave  Iowa  LA 74587,Lake Charles,30.2516,-92.9947
Delta Downs - Barn #10 - Jose Estrada,6704 Cox St  Crowley  LA 70231,Lake Charles,30.1869,-92.3876
Delta Downs - Barn #14 - Buddy Deville,9758 Barnes Dr  New Iberia  LA 73169,Lake Charles,29.9858,-91.8132
Delta Downs - Barn #18 - David Bustamante,2977 Coleman Rd  New Iberia  LA 72749,Lake Charles,29.9775,-91.8009
Delta Downs - Barn #19 - Leonel Hernandez,728 Maple Ave  Opelousas  LA 75488,Lake Charles,30.5585,-92.0945
Delta Food #4-Sulphur,8159 Anderson Ave  Lake Charles  LA 70990,Lake Charles,30.2557,-93.1986
Delta Food #5-Moss Bluff,2715 Walker St  Jennings  LA 72013,Lake Charles,30.1933,-92.6601
Delta Food #7-Moss Bluff,6516 Stewart Ave  Welsh  LA 72210,Lake Charles,30.2242,-92.8109
Dirty Rice,857 Campbell St  Abbeville  LA 78947,Lake Charles,29.9503,-92.1484
